z,y,x,rad,frame
47.5268279359,83.2995138698,87.963098451,6.75054594469,0.0
48.0113023832,104.778027334,99.6486148886,5.57440308815,0.0
1.61153709319,20.0176496807,49.6173419404,7.42304536491,0.0
0.382180878544,119.527522886,118.483169051,7.1814516821,0.0
1.32142485024,18.8353432911,127.196019113,6.62694727319,0.0
0.422814632923,116.088995487,81.8231397151,7.41888292855,0.0
14.3619626037,39.5841276351,123.906878215,7.17205009193,0.0
47.2579886346,127.462214386,91.5576857242,7.85562448978,0.0
18.6994321624,28.165349118,82.4524333856,7.39925895728,0.0
23.7836339091,104.84064265,110.848626979,7.22188309626,0.0
14.0821696728,43.1083847772,41.1933929279,7.64591319106,0.0
32.9846716927,38.4882172345,115.204766914,7.88163954081,0.0
46.7936948131,77.0380355419,69.2817259944,6.87875065104,0.0
47.1214615525,115.820049837,23.5343174445,6.73724633674,0.0
29.4219502918,60.9072551181,16.2557614718,7.33360074511,0.0
23.2397382757,125.419640638,14.9807167226,6.95177889887,0.0
35.7460114387,9.24680704934,126.001695173,8.00022061331,0.0
14.291289746,11.1978188739,19.576054132,7.63800534544,0.0
16.5002177326,26.1239617312,7.78832669646,7.54923709781,0.0
39.9845583604,0.358996259326,24.6324421537,6.64232772521,0.0
3.73320701184,44.4728902212,84.766985286,6.4649343705,0.0
14.8849427161,103.932124803,64.6882525163,7.51691416658,0.0
15.6151072376,36.7702325407,94.9059162105,6.80587393377,0.0
18.071826019,123.898671202,80.7457139321,6.46865731764,0.0
19.1516543951,51.5218958036,123.380328773,6.78160640042,0.0
47.1248102515,78.0711435263,14.7161686209,6.14681641039,0.0
47.771037166,94.3559428367,47.5945065938,5.23659941592,0.0
47.3487933107,102.056209822,75.4650561449,6.78547513077,0.0
46.9007361789,117.728436857,73.6315068788,6.4769893142,0.0
47.2074560626,17.1549632759,12.3870059022,5.87126611607,0.0
47.8116872308,51.1768226056,57.5472001102,8.65970767459,0.0
47.7871563045,101.554292325,3.56823855801,5.19949131613,0.0
46.8480370361,23.2400636637,63.9559448964,5.83338991322,0.0
47.0997058888,58.3219607437,112.31885682,6.68387256419,0.0
48.6241430823,19.2990115076,45.5453418093,4.77792345333,0.0
46.9250740976,113.032501311,84.8432388687,7.19070803469,0.0
48.6938418007,72.9911520956,38.5214111048,4.29490640502,0.0
28.9657919678,104.203997004,2.12204804628,4.84998423868,0.0
48.4019354202,41.513738386,44.2251753317,4.87026460143,0.0
47.0546124461,105.606284871,54.5726729009,8.3442951658,0.0
-0.300577657569,90.8145937716,13.7669108736,4.63320215722,0.0
47.2155736643,17.2889568238,128.788864014,4.89181259786,0.0
-0.580075990904,67.0559745392,130.21474655,4.93439355995,0.0
-4.18237935156,40.1791038668,2.63401099558,4.99059061273,0.0
-4.00156384304,34.8055408349,32.5624895048,5.41550062504,0.0
-3.79750291266,1.6129795709,8.00037006823,5.50430831815,0.0
-2.40819359772,88.3244194677,65.405272406,5.65331158763,0.0
-0.715996846232,104.389264906,25.4860999397,5.93117621032,0.0
25.3019257848,76.5496969328,-1.6523574848,6.10921644481,0.0
42.4084111941,128.048768903,50.2144044097,6.11817948798,0.0
8.14929728251,-1.11395580515,97.6172162582,6.18494258183,0.0
-4.64413829513,42.0729069782,29.9469020548,6.19839749946,0.0
-5.31234964761,121.726981107,95.24331721,6.32626274907,0.0
36.2764256869,51.0711482275,-3.20620111565,6.41244071333,0.0
24.9282595709,-1.64190238473,111.373573375,6.72219170622,0.0
31.944170339,42.5305664071,130.344476823,6.75361271473,0.0
43.8066197791,-0.945476877586,125.780445481,6.80728963462,0.0
-3.35157474238,50.8166141869,1.16945296995,6.8176434596,0.0
-3.93267937846,5.12904778446,54.6419638592,6.91966270643,0.0
-3.0273033225,8.80352237929,69.2438568914,6.98727852981,0.0
19.4101441839,90.7247249689,-3.59218544136,7.07716525977,0.0
-2.66174173459,94.1030575099,128.877792253,7.19532257825,0.0
-3.26663158897,63.4742840456,61.5140050524,7.34003712449,0.0
-0.191476518728,108.045258351,61.1337178671,7.35324198954,0.0
17.5249486502,129.258822956,67.3250552683,7.35510580837,0.0
