z,y,x,rad,frame,xum,yum,zum,particle,drad,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um
3.12918322984,73.8129260886,40.8810252293,7.79753511915,2.0,5.19189020412,9.37424161326,0.375501987581,11.0,0.00690480706,0.15737102082,0.09707399681,-0.096595736909,0.208613842876,-0.00775935878115,0.0803570487784,-0.0947310234971,0.124464572268,0.137165246671,0.125889631527,8.0
2.3242187556,74.5772882683,42.1201671255,7.80443992621,3.0,5.34926122494,9.47131561007,0.278906250672,11.0,,,,,,,,,,,,6.0
22.2432565341,82.9274939807,55.1687897722,7.22077173725,0.0,7.00643630107,10.5317917355,2.66919078409,12.0,-0.08354027985,-0.0969914786,0.1001124963,0.0702043077,0.156072110436,-0.0690212990266,0.0712937194157,0.0791734188017,0.126945517417,0.140410457069,0.121554016664,4.0
22.8282924316,83.7157813525,54.4050773423,7.1372314574,1.0,6.90944482247,10.6319042318,2.73939509179,12.0,0.02333487193,0.12137146282,0.0041671671,-0.00171152267,0.12145503933,0.00854900794566,-0.0228425473992,-0.00108826356301,0.0244141726488,0.00966333939921,0.0244498838114,4.0
22.8140297427,83.7485936919,55.3607581519,7.16056632933,2.0,7.03081628529,10.6360713989,2.73768356912,12.0,0.02661319445,0.14622819758,0.0630043178,-0.06291448778,0.171202986544,-0.0189021820211,0.0462873697684,-0.0610497743681,0.0789106332228,0.0910223561507,0.0803619677326,4.0
22.2897423445,84.2446906827,56.5121612825,7.18717952378,3.0,7.17704448287,10.6990757167,2.67476908134,12.0,,,,,,,,,,,,4.0
11.5800658902,77.6985312408,55.5728704074,7.52504598195,0.0,7.05775454175,9.86771346758,1.38960790682,13.0,0.05034534391,-0.024744791,0.0401639146,0.08421539772,0.0965281198966,0.00322538857336,0.0113451377157,0.0931845088217,0.093927993514,0.093358322503,0.0850373358847,4.0
12.2818608711,78.0147825369,55.3780295335,7.57539132586,1.0,7.03300975075,9.90787738218,1.47382330454,13.0,0.01147522227,0.13948705529,0.01100971262,-0.00643320109,0.140068691868,0.0266646004157,-0.0160000018792,-0.00580994198301,0.0316347340957,0.02955673804,0.0317551106395,5.0
12.2282508621,78.1014731874,56.4763528035,7.58686654813,2.0,7.17249680604,9.9188870948,1.46739010345,13.0,-0.02106452704,0.0815385237,0.07445371764,-0.0686956305,0.130042210714,-0.0835918559011,0.0577367696084,-0.0668309170881,0.12160388323,0.131339423226,0.122638585232,6.0
11.6557872745,78.6877229326,57.1183884231,7.56580202109,3.0,7.25403532974,9.99334081244,1.39869447295,13.0,,,,,,,,,,,,5.0
4.72811816331,2.94001109905,105.673402062,6.92994460768,0.0,13.4205220619,0.37338140958,0.567374179598,14.0,0.05486834171,-0.1181294891,0.025345461645,-0.034786858453,0.125726266715,-0.0901593095266,-0.00347331523927,-0.0258177473513,0.093847328632,0.0999060510747,0.0967000027616,2.0
4.43822767621,3.13958166319,104.743248605,6.98481294939,1.0,13.3023925728,0.398726871225,0.532587321145,14.0,-0.08379466037,0.2377317063,-0.003093353048,-0.095636432575,0.256265995109,0.124909251426,-0.0301030675472,-0.095013173468,0.15979993398,0.157347440909,0.160171292694,2.0
3.64125740475,3.11522455258,106.615151804,6.90101828902,2.0,13.5401242791,0.395633518177,0.43695088857,14.0,-0.07661386359,0.2528789781,-0.072848830454,-0.038327496972,0.26593932896,0.0877485984989,-0.0895657784856,-0.0364627835601,0.130580931989,0.120315276092,0.131113852199,2.0
3.32186159665,2.54161171436,108.60632486,6.82440442543,3.0,13.7930032572,0.322784687723,0.398623391598,14.0,,,,,,,,,,,,3.0
25.9312012801,27.8935762359,33.7819767034,7.48855085796,0.0,4.29031104133,3.54248418196,3.11174415362,15.0,0.01401345375,-0.09199549626,0.04507507385,0.00126928987,0.102452646191,-0.0640253166866,0.0162562969657,0.0102384009717,0.0668455923926,0.0783110117173,0.0660690507321,2.0
25.9417786957,28.2484980772,33.0576027171,7.50256431171,1.0,4.19831554507,3.58755925581,3.11301344349,15.0,-0.02422742214,0.08603990512,0.01063408685,-0.0160978064,0.0881764619787,-0.0267825497543,-0.0163756276492,-0.015474547293,0.034998968073,0.0330080012326,0.0352789671496,3.0
25.8076303091,28.3322310446,33.735082285,7.47833688957,2.0,4.28435545019,3.59819334266,3.09691563709,15.0,0.03514388226,0.15263171213,-0.00856834384,0.05996644555,0.164212760332,-0.0124986674711,-0.0252852918716,0.0618311589619,0.0679606863721,0.0618514979335,0.0662686748433,3.0
26.3073506887,28.2647637703,34.9369067899,7.51348077183,3.0,4.43698716232,3.58962499882,3.15688208264,15.0,,,,,,,,,,,,3.0
15.0068832718,68.0823213925,81.6930096537,7.90308540887,0.0,10.375012226,8.64645481685,1.80082599261,16.0,-0.02647403781,0.032698033,0.01822212271,0.00214196943,0.0374939348584,0.0606682125734,-0.0105966541743,0.0111110805317,0.062580965214,0.0633819044045,0.0616239330908,5.0
15.024733017,68.2258026737,81.95047448,7.87661137106,1.0,10.407710259,8.66467693956,1.80296796204,16.0,-0.02918769099,0.0983454686,-0.09058076367,0.01832732078,0.134954053767,-0.0144769862743,-0.117590478169,0.018950579887,0.119984282995,0.0935432978123,0.119887423755,5.0
15.1774606902,67.5125683141,82.7248482489,7.84742368007,2.0,10.5060557276,8.57409617589,1.82129528282,16.0,0.04594272585,0.0898672994,0.14128177165,-0.07167249943,0.18213626129,-0.0752630802011,0.124564823618,-0.0698077860181,0.161412680769,0.175391041437,0.162227845017,6.0
14.5801898616,68.625023209,83.4324647798,7.89336640592,3.0,10.595923027,8.71537794754,1.74962278339,16.0,,,,,,,,,,,,6.0
17.4342846593,48.3349908773,25.9544817117,7.93836813579,0.0,3.29621917739,6.13854384141,2.09211415912,17.0,-0.08321413178,0.01007336826,-0.02024181398,0.06581085789,0.0695864411902,0.0380435478334,-0.0490605908643,0.0747799689917,0.0971920617648,0.0786645509818,0.0904727700688,3.0
17.9827084751,48.1756065152,26.0337995721,7.85515400401,1.0,3.30629254565,6.11830202743,2.15792501701,17.0,0.05293249499,0.11331044001,-0.05190103007,-0.0499706614,0.134275983476,0.000487985135661,-0.0789107445692,-0.049347402293,0.09307153083,0.0720487477516,0.093403483547,3.0
17.5662862968,47.7669369871,26.9260077611,7.908086499,2.0,3.41960298566,6.06640099736,2.10795435561,17.0,-0.00304000419,0.22855643761,0.00943953402,-0.05691819859,0.235726178661,0.0634260580089,-0.00727741401159,-0.0550534851781,0.0843013156451,0.0857417690964,0.0855307366972,3.0
17.0919679751,47.8412640266,28.7256647502,7.90504649481,3.0,3.64815942327,6.07584053138,2.05103615702,17.0,,,,,,,,,,,,4.0
11.9599649079,22.7417168768,112.947724482,7.29893633353,0.0,14.3443610092,2.88819804336,1.43519578895,18.0,-0.02726881169,-0.0343656696,-0.02901160753,-0.05526156003,0.0712496500727,-0.00639549002664,-0.0578303844143,-0.0462924489283,0.0743521787305,0.0627408613354,0.080243975918,5.0
11.4994519076,22.5132790223,112.677128659,7.27166752184,1.0,14.3099953396,2.85918643583,1.37993422892,18.0,0.01804720294,0.1557995862,0.08612100038,0.07448348563,0.192971830582,0.0429771313257,0.0591112858808,0.075106744737,0.104795997254,0.121703123029,0.104350215942,5.0
12.1201476212,23.1913971355,113.903897054,7.28971472478,2.0,14.4657949258,2.94530743621,1.45441771455,18.0,0.02522952503,0.0458266724,-0.06177106192,-0.10081308355,0.126803098577,-0.119303707201,-0.0784880099516,-0.0989483701381,0.173736933929,0.167965223953,0.174805663732,6.0
11.2800385916,22.7050108212,114.264736994,7.31494424981,3.0,14.5116215982,2.88353637429,1.353604631,18.0,,,,,,,,,,,,6.0
14.4688182425,17.4607042958,83.9246350195,7.51935318563,0.0,10.6584286475,2.21750944557,1.7362581891,19.0,0.03322642842,0.0035450789,0.00667518196,-0.02828183341,0.0292743529329,0.0315152584734,-0.0221435949243,-0.0193127223083,0.0430874872297,0.0428676063231,0.0477850647571,6.0
14.2331362974,17.5132647837,83.9525490266,7.55257961405,1.0,10.6619737264,2.22418462753,1.70797635569,19.0,-0.07511268968,0.1092324961,0.01869577936,-0.00946595602,0.111224433887,-0.00358995877434,-0.00831393513924,-0.00884269691301,0.0126571169781,0.021260862947,0.0131001391166,5.0
14.1542533306,17.6604756448,84.812647421,7.47746692437,2.0,10.7712062225,2.24288040689,1.69851039967,19.0,-0.02407153364,0.0946850888,-0.00066055571,0.02128914442,0.0970511723012,-0.0704452908011,-0.0173775037416,0.0231538578319,0.0761617867756,0.0735948571576,0.075615767552,5.0
14.3316628675,17.6552744187,85.5581993017,7.45339539073,3.0,10.8658913113,2.24221985118,1.71979954409,19.0,,,,,,,,,,,,5.0
